customer_key,customer_id,acquisition_date,acquisition_channel_key,region
1,CUST000001,2021-01-01,5,Midwest
2,CUST000002,2021-01-01,1,West
3,CUST000003,2021-01-01,1,Northeast
4,CUST000004,2021-01-01,2,Northeast
5,CUST000005,2021-01-01,1,Midwest
6,CUST000006,2021-01-01,2,South
7,CUST000007,2021-01-01,1,West
8,CUST000008,2021-01-01,5,South
9,CUST000009,2021-01-02,2,West
10,CUST000010,2021-01-02,5,South
11,CUST000011,2021-01-02,1,South
12,CUST000012,2021-01-02,1,Northeast
13,CUST000013,2021-01-02,1,South
14,CUST000014,2021-01-02,1,West
15,CUST000015,2021-01-02,5,West
16,CUST000016,2021-01-02,1,Northeast
17,CUST000017,2021-01-02,2,Northeast
18,CUST000018,2021-01-03,2,West
19,CUST000019,2021-01-03,1,South
20,CUST000020,2021-01-03,4,West
21,CUST000021,2021-01-04,1,South
22,CUST000022,2021-01-04,1,Midwest
23,CUST000023,2021-01-04,5,West
24,CUST000024,2021-01-04,2,Northeast
25,CUST000025,2021-01-04,3,Midwest
26,CUST000026,2021-01-04,4,West
27,CUST000027,2021-01-05,2,South
28,CUST000028,2021-01-05,2,Midwest
29,CUST000029,2021-01-05,3,West
30,CUST000030,2021-01-06,2,West
31,CUST000031,2021-01-06,5,Midwest
32,CUST000032,2021-01-06,3,West
33,CUST000033,2021-01-06,1,West
34,CUST000034,2021-01-06,1,West
35,CUST000035,2021-01-06,1,South
36,CUST000036,2021-01-07,5,West
37,CUST000037,2021-01-07,2,Northeast
38,CUST000038,2021-01-07,1,South
39,CUST000039,2021-01-08,1,Northeast
40,CUST000040,2021-01-08,1,West
41,CUST000041,2021-01-08,1,West
42,CUST000042,2021-01-08,4,West
43,CUST000043,2021-01-09,1,West
44,CUST000044,2021-01-09,1,West
45,CUST000045,2021-01-09,1,Midwest
46,CUST000046,2021-01-09,2,South
47,CUST000047,2021-01-09,2,West
48,CUST000048,2021-01-09,4,West
49,CUST000049,2021-01-09,1,Midwest
50,CUST000050,2021-01-09,3,South
51,CUST000051,2021-01-10,1,South
52,CUST000052,2021-01-10,1,Northeast
53,CUST000053,2021-01-10,1,South
54,CUST000054,2021-01-10,1,Midwest
55,CUST000055,2021-01-10,5,West
56,CUST000056,2021-01-10,5,West
57,CUST000057,2021-01-11,2,Northeast
58,CUST000058,2021-01-11,2,South
59,CUST000059,2021-01-11,1,South
60,CUST000060,2021-01-11,2,South
61,CUST000061,2021-01-12,1,South
62,CUST000062,2021-01-12,1,Midwest
63,CUST000063,2021-01-12,1,South
64,CUST000064,2021-01-12,5,Northeast
65,CUST000065,2021-01-12,5,South
66,CUST000066,2021-01-12,5,South
67,CUST000067,2021-01-12,5,Midwest
68,CUST000068,2021-01-12,1,Midwest
69,CUST000069,2021-01-13,4,South
70,CUST000070,2021-01-13,1,Midwest
71,CUST000071,2021-01-13,5,Northeast
72,CUST000072,2021-01-13,5,West
73,CUST000073,2021-01-14,2,Midwest
74,CUST000074,2021-01-14,4,West
75,CUST000075,2021-01-14,5,South
76,CUST000076,2021-01-14,3,West
77,CUST000077,2021-01-14,3,Northeast
78,CUST000078,2021-01-14,2,Northeast
79,CUST000079,2021-01-15,5,Northeast
80,CUST000080,2021-01-15,5,South
81,CUST000081,2021-01-15,1,Midwest
82,CUST000082,2021-01-15,1,Northeast
83,CUST000083,2021-01-15,1,Midwest
84,CUST000084,2021-01-16,3,Northeast
85,CUST000085,2021-01-16,1,Midwest
