product_key,product_name,category,color,tier,sku,unit_price,unit_cost,gross_margin_pct
1,Shirts,Tops,Black,Normal,SHI-N-BK,28.0,10.03,0.6418
2,Shirts,Tops,White,Normal,SHI-N-WH,28.0,9.75,0.6518
3,Shirts,Tops,Gray,Normal,SHI-N-GY,28.0,10.1,0.6393
4,Shirts,Tops,Blue,Normal,SHI-N-BL,28.0,9.97,0.6439
5,Shirts,Tops,Green,Normal,SHI-N-GN,28.0,9.46,0.6621
6,Shirts,Tops,Red,Normal,SHI-N-RD,28.0,10.2,0.6357
7,Shirts,Tops,Black,Premium,SHI-P-BK,42.0,13.77,0.6721
8,Shirts,Tops,White,Premium,SHI-P-WH,42.0,13.8,0.6714
9,Shirts,Tops,Gray,Premium,SHI-P-GY,42.0,12.97,0.6912
10,Shirts,Tops,Blue,Premium,SHI-P-BL,42.0,13.38,0.6814
11,Shirts,Tops,Green,Premium,SHI-P-GN,42.0,13.28,0.6838
12,Shirts,Tops,Red,Premium,SHI-P-RD,42.0,13.98,0.6671
13,Shorts,Bottoms,Black,Normal,SHO-N-BK,32.0,12.3,0.6156
14,Shorts,Bottoms,White,Normal,SHO-N-WH,32.0,12.47,0.6103
15,Shorts,Bottoms,Gray,Normal,SHO-N-GY,32.0,12.11,0.6216
16,Shorts,Bottoms,Blue,Normal,SHO-N-BL,32.0,11.9,0.6281
17,Shorts,Bottoms,Green,Normal,SHO-N-GN,32.0,12.21,0.6184
18,Shorts,Bottoms,Red,Normal,SHO-N-RD,32.0,11.74,0.6331
19,Shorts,Bottoms,Black,Premium,SHO-P-BK,46.0,16.09,0.6502
20,Shorts,Bottoms,White,Premium,SHO-P-WH,46.0,15.82,0.6561
21,Shorts,Bottoms,Gray,Premium,SHO-P-GY,46.0,16.0,0.6522
22,Shorts,Bottoms,Blue,Premium,SHO-P-BL,46.0,15.44,0.6643
23,Shorts,Bottoms,Green,Premium,SHO-P-GN,46.0,16.29,0.6459
24,Shorts,Bottoms,Red,Premium,SHO-P-RD,46.0,16.18,0.6483
25,Joggers,Bottoms,Black,Normal,JOG-N-BK,58.0,21.36,0.6317
26,Joggers,Bottoms,White,Normal,JOG-N-WH,58.0,20.35,0.6491
27,Joggers,Bottoms,Gray,Normal,JOG-N-GY,58.0,20.82,0.641
28,Joggers,Bottoms,Blue,Normal,JOG-N-BL,58.0,20.09,0.6536
29,Joggers,Bottoms,Green,Normal,JOG-N-GN,58.0,20.28,0.6503
30,Joggers,Bottoms,Red,Normal,JOG-N-RD,58.0,21.2,0.6345
31,Joggers,Bottoms,Black,Premium,JOG-P-BK,78.0,25.53,0.6727
32,Joggers,Bottoms,White,Premium,JOG-P-WH,78.0,26.05,0.666
33,Joggers,Bottoms,Gray,Premium,JOG-P-GY,78.0,24.55,0.6853
34,Joggers,Bottoms,Blue,Premium,JOG-P-BL,78.0,24.66,0.6838
35,Joggers,Bottoms,Green,Premium,JOG-P-GN,78.0,24.89,0.6809
36,Joggers,Bottoms,Red,Premium,JOG-P-RD,78.0,24.23,0.6894
37,Hoodies,Tops,Black,Normal,HOO-N-BK,68.0,22.37,0.671
38,Hoodies,Tops,White,Normal,HOO-N-WH,68.0,23.07,0.6607
39,Hoodies,Tops,Gray,Normal,HOO-N-GY,68.0,22.56,0.6682
40,Hoodies,Tops,Blue,Normal,HOO-N-BL,68.0,23.47,0.6549
41,Hoodies,Tops,Green,Normal,HOO-N-GN,68.0,22.99,0.6619
42,Hoodies,Tops,Red,Normal,HOO-N-RD,68.0,23.8,0.65
43,Hoodies,Tops,Black,Premium,HOO-P-BK,95.0,29.07,0.694
44,Hoodies,Tops,White,Premium,HOO-P-WH,95.0,27.97,0.7056
45,Hoodies,Tops,Gray,Premium,HOO-P-GY,95.0,29.45,0.69
46,Hoodies,Tops,Blue,Premium,HOO-P-BL,95.0,29.37,0.6908
47,Hoodies,Tops,Green,Premium,HOO-P-GN,95.0,28.18,0.7034
48,Hoodies,Tops,Red,Premium,HOO-P-RD,95.0,27.9,0.7063
49,Hats,Accessories,Black,Normal,HAT-N-BK,26.0,10.54,0.5946
50,Hats,Accessories,White,Normal,HAT-N-WH,26.0,10.12,0.6108
51,Hats,Accessories,Gray,Normal,HAT-N-GY,26.0,10.17,0.6088
52,Hats,Accessories,Blue,Normal,HAT-N-BL,26.0,10.02,0.6146
53,Hats,Accessories,Green,Normal,HAT-N-GN,26.0,10.62,0.5915
54,Hats,Accessories,Red,Normal,HAT-N-RD,26.0,10.53,0.595
55,Hats,Accessories,Black,Premium,HAT-P-BK,36.0,13.18,0.6339
56,Hats,Accessories,White,Premium,HAT-P-WH,36.0,13.26,0.6317
57,Hats,Accessories,Gray,Premium,HAT-P-GY,36.0,12.92,0.6411
58,Hats,Accessories,Blue,Premium,HAT-P-BL,36.0,13.03,0.6381
59,Hats,Accessories,Green,Premium,HAT-P-GN,36.0,12.57,0.6508
60,Hats,Accessories,Red,Premium,HAT-P-RD,36.0,12.54,0.6517
