date_key,channel_key,impressions,clicks,spend,conversions
20210101,1,11130,146,104.47,4
20210102,1,13908,187,122.34,5
20210103,1,3907,47,28.91,1
20210104,1,6980,89,63.96,2
20210105,1,740,9,5.86,0
20210106,1,7582,103,75.3,3
20210107,1,3769,45,32.85,1
20210108,1,9199,113,73.65,3
20210109,1,9172,123,71.38,4
20210110,1,9917,124,96.87,4
20210111,1,3746,46,31.13,1
20210112,1,11016,151,96.27,4
20210113,1,3348,46,32.72,1
20210114,1,1328,18,12.13,0
20210115,1,7763,106,76.95,3
20210116,1,5861,75,46.73,2
20210117,1,10768,138,92.37,4
20210118,1,12583,157,93.58,4
20210119,1,2900,38,26.5,1
20210120,1,14167,178,116.5,5
20210121,1,3720,47,31.16,1
20210122,1,7068,95,61.83,2
20210123,1,6538,91,58.48,2
20210124,1,12353,164,100.19,5
20210125,1,3603,52,36.34,1
20210126,1,1208,15,10.73,0
20210127,1,8531,99,62.44,2
20210128,1,15529,210,144.34,6
20210129,1,8813,109,73.94,3
20210130,1,4003,51,33.36,1
20210131,1,8415,98,56.89,2
20210201,1,15649,192,113.96,6
20210202,1,17918,212,130.91,7
20210203,1,11893,150,83.18,4
20210204,1,11470,145,106.95,4
20210205,1,10451,136,92.27,4
20210206,1,14419,201,132.24,5
20210207,1,3414,46,25.18,1
20210208,1,8179,96,54.77,3
20210209,1,7677,103,68.17,3
20210210,1,13670,178,137.53,5
20210211,1,6145,79,49.12,2
20210212,1,5963,77,54.17,2
20210213,1,10543,138,87.81,4
20210214,1,7176,89,59.16,2
20210215,1,3207,41,30.05,1
20210216,1,7639,106,67.92,3
20210217,1,5973,74,46.42,2
20210218,1,6998,85,63.29,2
20210219,1,9400,121,80.17,3
20210220,1,9859,119,85.77,3
20210221,1,10217,119,74.59,3
20210222,1,10355,131,97.38,3
20210223,1,10081,142,96.34,4
20210224,1,5201,67,45.8,2
20210225,1,17396,227,152.36,7
20210226,1,15934,181,115.51,5
20210227,1,8755,116,76.81,3
20210228,1,8476,110,70.66,3
20210301,1,11937,148,105.99,4
20210302,1,1534,20,13.29,0
20210303,1,4220,55,32.71,1
20210304,1,4048,49,28.25,1
20210305,1,10186,134,77.39,3
20210306,1,12775,177,123.95,5
20210307,1,12266,156,94.91,4
20210308,1,14137,173,117.87,5
20210309,1,3607,46,30.99,1
20210310,1,10025,136,90.18,4
20210311,1,4260,51,35.23,1
20210312,1,5322,71,47.91,2
20210313,1,14390,178,95.91,5
20210314,1,21040,275,179.09,8
20210315,1,10120,126,87.22,3
20210316,1,1446,18,13.67,0
20210317,1,7584,107,81.87,3
20210318,1,1352,16,9.7,0
20210319,1,12751,169,109.79,5
20210320,1,11414,163,96.06,4
20210321,1,6040,81,61.27,2
20210322,1,3788,45,32.88,1
20210323,1,4029,48,33.19,1
20210324,1,21060,259,176.14,7
20210325,1,8856,115,85.91,3
20210326,1,10508,137,100.87,4
20210327,1,10742,128,94.11,4
20210328,1,10817,132,91.85,3
20210329,1,3756,46,30.32,1
20210330,1,3696,47,33.81,1
20210331,1,12155,176,126.52,5
20210401,1,4032,49,32.47,1
20210402,1,8004,97,63.29,3
20210403,1,19576,235,172.94,7
20210404,1,12588,168,129.22,4
20210405,1,6165,79,50.17,2
20210406,1,5587,68,44.97,2
20210407,1,6844,86,59.93,2
20210408,1,1633,20,14.29,0
20210409,1,20277,265,171.21,7
20210410,1,8620,130,101.98,4
20210411,1,8291,110,76.79,3
20210412,1,10421,133,94.0,4
20210413,1,1541,19,14.97,0
20210414,1,6843,81,52.61,2
20210415,1,14023,188,125.96,5
20210416,1,11601,155,94.55,4
20210417,1,23653,295,196.89,9
20210418,1,10150,140,83.82,4
20210419,1,9035,116,83.58,3
20210420,1,11615,156,109.07,4
20210421,1,13717,179,118.3,5
20210422,1,12853,163,109.66,4
20210423,1,21318,258,185.82,6
20210424,1,11021,140,86.51,4
20210425,1,10685,144,99.42,4
20210426,1,3541,44,31.55,1
20210427,1,8896,117,68.95,3
20210428,1,5832,70,50.05,2
20210429,1,5887,79,46.76,2
20210430,1,5135,67,45.05,2
20210501,1,4365,52,32.15,1
20210502,1,11085,140,106.68,4
20210503,1,8570,116,72.01,3
20210504,1,7753,92,54.97,2
20210505,1,3250,39,26.8,1
20210506,1,4552,58,38.18,1
20210507,1,7841,114,68.54,3
20210508,1,6919,85,60.17,2
20210509,1,16850,222,128.93,6
20210510,1,6236,81,50.9,2
20210511,1,7859,97,63.18,3
20210512,1,7592,98,71.35,3
20210513,1,9643,120,90.51,3
20210514,1,1279,16,11.98,0
20210515,1,11757,136,91.75,3
20210516,1,19985,255,143.66,8
20210517,1,1557,21,15.01,0
20210518,1,13964,179,137.41,4
20210519,1,10266,140,105.92,4
20210520,1,8696,115,81.79,3
20210521,1,11631,148,92.34,4
20210522,1,20820,256,168.16,7
20210523,1,23711,294,235.03,8
20210524,1,9412,110,67.11,3
20210525,1,9554,120,74.76,3
20210526,1,9243,119,88.27,3
20210527,1,13293,188,124.84,5
20210528,1,15794,208,129.69,6
20210529,1,14366,174,135.3,4
20210530,1,22736,266,189.82,7
20210531,1,14131,178,118.83,4
20210601,1,16582,222,139.04,6
20210602,1,8663,109,88.35,3
20210603,1,9188,121,82.78,3
20210604,1,11579,146,112.29,4
20210605,1,12326,164,121.17,5
20210606,1,12695,147,97.28,4
20210607,1,10549,148,98.14,4
20210608,1,17034,203,156.87,6
20210609,1,8683,116,90.06,3
20210610,1,7661,96,56.84,2
20210611,1,8302,105,75.56,3
20210612,1,12908,162,110.76,4
20210613,1,6574,85,54.16,2
20210614,1,6649,87,61.49,2
20210615,1,9658,131,81.33,4
20210616,1,7654,106,70.56,3
20210617,1,19952,259,167.91,7
20210618,1,7375,104,69.31,2
20210619,1,7504,96,65.96,2
20210620,1,14886,202,128.86,6
20210621,1,16628,217,170.55,6
20210622,1,7639,94,67.52,2
20210623,1,6457,83,66.12,2
20210624,1,6410,84,57.75,2
20210625,1,13478,171,113.35,5
20210626,1,13278,173,138.25,5
20210627,1,11728,157,104.16,4
20210628,1,5989,76,51.87,2
20210629,1,19345,206,151.21,6
20210630,1,20285,285,179.13,7
20210701,1,13945,174,127.84,5
20210702,1,24568,297,216.45,9
20210703,1,11709,139,106.78,4
20210704,1,13742,171,127.91,5
20210705,1,7903,97,74.73,2
20210706,1,19349,235,161.87,6
20210707,1,6895,84,54.34,2
20210708,1,11755,154,126.87,4
20210709,1,8651,124,76.64,3
20210710,1,13205,176,109.58,4
20210711,1,14591,198,144.7,5
20210712,1,10806,134,106.12,3
20210713,1,19432,248,175.97,5
20210714,1,6918,90,68.31,2
20210715,1,10174,124,74.01,4
20210716,1,6635,82,55.29,2
20210717,1,9968,133,80.2,3
20210718,1,8425,114,84.63,3
20210719,1,5423,69,42.56,1
20210720,1,5342,63,40.02,1
20210721,1,13497,168,122.25,4
20210722,1,13513,157,119.93,4
