order_line_key,order_id,date_key,customer_key,product_key,channel_key,quantity,unit_price,discount_pct,net_revenue,unit_cost,total_cost,gross_profit
1,1,20210101,1,39,5,1,68.0,0.0,68.0,22.56,22.56,45.44
2,2,20210101,2,3,1,1,28.0,0.0,28.0,10.1,10.1,17.9
3,3,20210101,3,4,1,3,28.0,0.0,84.0,9.97,29.91,54.09
4,4,20210101,4,27,2,1,58.0,0.194,46.75,20.82,20.82,25.93
5,5,20210101,5,8,1,3,42.0,0.1288,109.77,13.8,41.4,68.37
6,5,20210101,5,27,1,1,58.0,0.1288,50.53,20.82,20.82,29.71
7,5,20210101,5,16,1,2,32.0,0.1288,55.75,11.9,23.8,31.95
8,6,20210101,6,15,2,1,32.0,0.0,32.0,12.11,12.11,19.89
9,7,20210101,7,2,1,1,28.0,0.1069,25.01,9.75,9.75,15.26
10,8,20210101,8,21,5,1,46.0,0.0,46.0,16.0,16.0,30.0
11,9,20210102,9,25,2,1,58.0,0.0,58.0,21.36,21.36,36.64
12,10,20210102,10,48,5,2,95.0,0.1124,168.65,27.9,55.8,112.85
13,11,20210102,11,47,1,2,95.0,0.1724,157.25,28.18,56.36,100.89
14,12,20210102,12,25,1,1,58.0,0.0,58.0,21.36,21.36,36.64
15,13,20210102,13,49,1,2,26.0,0.0,52.0,10.54,21.08,30.92
16,13,20210102,13,32,1,1,78.0,0.0,78.0,26.05,26.05,51.95
17,14,20210102,14,1,1,1,28.0,0.0,28.0,10.03,10.03,17.97
18,15,20210102,15,16,5,2,32.0,0.0,64.0,11.9,23.8,40.2
19,15,20210102,15,3,5,1,28.0,0.0,28.0,10.1,10.1,17.9
20,16,20210102,16,49,1,1,26.0,0.0,26.0,10.54,10.54,15.46
21,17,20210102,17,38,2,1,68.0,0.0,68.0,23.07,23.07,44.93
22,18,20210103,18,7,2,1,42.0,0.0,42.0,13.77,13.77,28.23
23,18,20210103,18,3,2,2,28.0,0.0,56.0,10.1,20.2,35.8
24,19,20210103,19,6,1,3,28.0,0.0,84.0,10.2,30.6,53.4
25,19,20210103,19,27,1,1,58.0,0.0,58.0,20.82,20.82,37.18
26,20,20210103,20,2,4,1,28.0,0.1196,24.65,9.75,9.75,14.9
27,21,20210104,21,3,1,1,28.0,0.0,28.0,10.1,10.1,17.9
28,22,20210104,22,50,1,1,26.0,0.0,26.0,10.12,10.12,15.88
29,22,20210104,22,13,1,1,32.0,0.0,32.0,12.3,12.3,19.7
30,22,20210104,22,43,1,1,95.0,0.0,95.0,29.07,29.07,65.93
31,23,20210104,23,1,5,1,28.0,0.184,22.85,10.03,10.03,12.82
32,23,20210104,23,42,5,1,68.0,0.184,55.49,23.8,23.8,31.69
33,23,20210104,23,2,5,2,28.0,0.184,45.7,9.75,19.5,26.2
34,24,20210104,24,26,2,2,58.0,0.1251,101.49,20.35,40.7,60.79
35,25,20210104,25,9,3,1,42.0,0.0,42.0,12.97,12.97,29.03
36,25,20210104,25,25,3,1,58.0,0.0,58.0,21.36,21.36,36.64
37,26,20210104,26,27,4,1,58.0,0.0,58.0,20.82,20.82,37.18
38,27,20210105,27,35,2,1,78.0,0.0,78.0,24.89,24.89,53.11
39,28,20210105,28,52,2,1,26.0,0.0,26.0,10.02,10.02,15.98
40,29,20210105,29,3,3,1,28.0,0.1181,24.69,10.1,10.1,14.59
41,30,20210106,30,25,2,1,58.0,0.0,58.0,21.36,21.36,36.64
42,31,20210106,31,21,5,1,46.0,0.0,46.0,16.0,16.0,30.0
43,32,20210106,32,41,3,2,68.0,0.0,136.0,22.99,45.98,90.02
44,33,20210106,33,58,1,1,36.0,0.0,36.0,13.03,13.03,22.97
45,33,20210106,33,28,1,1,58.0,0.0,58.0,20.09,20.09,37.91
46,34,20210106,34,1,1,1,28.0,0.0,28.0,10.03,10.03,17.97
47,35,20210106,35,26,1,1,58.0,0.0,58.0,20.35,20.35,37.65
48,36,20210107,36,27,5,1,58.0,0.0,58.0,20.82,20.82,37.18
49,36,20210107,36,50,5,1,26.0,0.0,26.0,10.12,10.12,15.88
50,37,20210107,37,39,2,1,68.0,0.2045,54.09,22.56,22.56,31.53
51,38,20210107,38,39,1,2,68.0,0.0,136.0,22.56,45.12,90.88
52,39,20210108,39,7,1,1,42.0,0.0,42.0,13.77,13.77,28.23
53,40,20210108,40,29,1,1,58.0,0.0,58.0,20.28,20.28,37.72
54,40,20210108,40,56,1,1,36.0,0.0,36.0,13.26,13.26,22.74
55,41,20210108,41,27,1,1,58.0,0.0,58.0,20.82,20.82,37.18
56,42,20210108,42,57,4,1,36.0,0.0,36.0,12.92,12.92,23.08
57,42,20210108,42,45,4,1,95.0,0.0,95.0,29.45,29.45,65.55
58,43,20210109,43,43,1,1,95.0,0.0,95.0,29.07,29.07,65.93
59,43,20210109,43,36,1,2,78.0,0.0,156.0,24.23,48.46,107.54
60,44,20210109,44,43,1,1,95.0,0.0,95.0,29.07,29.07,65.93
61,44,20210109,44,3,1,1,28.0,0.0,28.0,10.1,10.1,17.9
62,45,20210109,45,38,1,1,68.0,0.0,68.0,23.07,23.07,44.93
63,45,20210109,45,31,1,1,78.0,0.0,78.0,25.53,25.53,52.47
64,46,20210109,46,15,2,1,32.0,0.0,32.0,12.11,12.11,19.89
65,47,20210109,47,46,2,1,95.0,0.0,95.0,29.37,29.37,65.63
66,47,20210109,47,5,2,1,28.0,0.0,28.0,9.46,9.46,18.54
